#OTU_ID,W48t21c,W48t22c,W48t23c,W48t24c,W48t25c,W48t26c,WC10Mc,WC31Hc,WC32Hc,WC33Hc,WC8Mc,WC9Mc
Zotu11036,2,0,2,1,1,0,0,0,0,0,0,0
Zotu19379,0,5,9,6,2,0,0,0,0,0,0,0
Zotu12790,7,0,0,3,2,1,0,0,0,0,0,0
Zotu1388,4,0,2,2,3,1,0,0,0,0,0,0
Zotu2842,1,1,1,1,1,1,1,0,0,0,0,0
Zotu857,2,2,4,6,8,1,0,0,0,0,1,0
Zotu3490,2,2,0,1,4,1,0,0,0,0,0,0
Zotu822,10,2,6,7,7,3,0,0,1,2,1,2
Zotu2439,1,1,0,6,3,2,0,0,0,0,0,0
Zotu17283,16,2,1,3,0,0,0,0,0,0,0,0
Zotu1590,6,1,0,4,3,4,0,2,0,0,1,1
Zotu589,2,0,3,7,9,1,0,0,0,0,0,0
Zotu7194,1,1,2,2,1,1,0,0,0,0,0,1
Zotu2292,3,1,1,0,3,0,0,0,0,0,0,0
Zotu2963,1,1,1,4,0,2,0,0,0,0,0,0
Zotu4180,0,3,1,4,3,1,0,1,1,0,0,0
Zotu11703,3,0,3,1,5,0,0,0,0,1,0,0
Zotu3775,1,1,1,2,1,0,0,0,0,0,1,0
Zotu1390,3,0,3,0,5,2,0,0,0,0,0,0
Zotu4701,2,1,2,3,6,2,0,0,2,0,2,0
Zotu4016,19,1,2,0,0,1,0,0,0,0,0,0
Zotu692,1,2,1,6,8,1,0,0,0,0,0,0
Zotu3903,1,1,2,1,3,0,0,0,0,0,0,0
Zotu1461,3,1,1,1,1,1,0,0,0,0,0,0
Zotu2876,4,3,0,1,3,2,0,0,0,3,0,0
Zotu12682,5,0,1,6,14,3,1,0,0,0,0,1
Zotu505,2,1,6,8,6,1,1,0,0,0,0,0
Zotu2989,4,2,0,1,4,0,0,0,0,0,0,0
Zotu2328,5,0,1,2,1,1,0,0,0,0,0,1
Zotu3292,4,0,1,4,0,1,0,0,0,0,0,0
Zotu7836,1,0,1,0,2,1,0,0,0,0,0,0
Zotu2360,5,1,1,1,0,1,0,0,0,0,0,0
Zotu2101,1,1,2,2,2,1,0,0,0,0,0,0
Zotu5138,1,2,0,1,1,3,1,0,0,0,0,0
Zotu2233,10,1,2,4,2,1,5,0,0,0,1,0
Zotu1403,7,2,5,2,4,2,3,0,2,0,2,0
