#OTU_ID,W12t1c,W12t2c,W12t3c,W12t4c,W12t5c,W12t6c,WC10Mc,WC31Hc,WC32Hc,WC33Hc,WC8Mc,WC9Mc
Zotu9935,0,2,0,1,4,1,0,0,0,0,0,0
Zotu56,2,2,5,40,36,5,2,1,0,1,4,0
Zotu3937,1,0,0,2,2,1,0,0,0,0,0,0
Zotu14092,0,10,1,4,7,1,1,0,1,0,0,0
Zotu2980,0,1,1,0,1,3,0,1,0,0,0,0
Zotu3155,1,2,1,1,0,18,0,0,0,0,0,0
Zotu1215,1,2,1,1,1,0,0,1,0,0,0,0
Zotu10181,0,2,0,3,8,3,0,0,0,0,0,0
Zotu1918,1,1,1,0,14,1,6,0,0,1,0,0
Zotu465,2,1,0,3,86,3,0,1,0,0,2,0
Zotu11482,0,7,0,1,1,1,0,0,0,0,0,0
Zotu8194,1,4,2,0,2,0,0,0,0,0,0,0
Zotu14006,0,7,0,3,1,2,0,0,0,0,0,0
Zotu408,1,1,1,3,106,1,4,0,0,0,1,0
Zotu81,1,0,2,6,8,1,0,0,0,0,0,0
Zotu183,3,2,1,10,12,4,3,0,0,3,1,0
Zotu13960,2,4,1,0,2,4,1,0,0,0,0,0
Zotu1231,1,1,0,4,3,1,0,0,0,0,0,0
Zotu4829,1,2,2,2,13,1,1,0,1,2,0,0
Zotu19298,0,3,1,3,2,1,0,0,0,0,0,0
Zotu11152,1,2,1,0,4,1,0,0,0,0,0,0
Zotu16282,0,0,5,10,18,1,0,0,0,0,0,0
Zotu1508,0,1,1,0,3,3,0,0,0,0,0,0
Zotu4620,0,3,0,6,5,2,0,1,0,0,0,0
Zotu5958,0,4,1,2,0,3,0,0,0,0,0,1
Zotu23,2,1,3,22,15,3,2,0,2,1,0,1
Zotu838,0,0,1,7,4,1,0,0,0,0,0,0
Zotu4540,1,9,0,1,4,2,0,0,0,0,0,0
Zotu4397,0,2,3,1,8,2,1,0,1,0,0,0
Zotu1443,0,3,1,1,2,3,0,1,0,0,0,0
Zotu10624,0,6,0,1,2,1,0,0,0,0,0,0
Zotu782,1,1,0,1,7,0,0,0,0,0,0,0
Zotu7496,1,0,1,1,10,1,0,0,0,3,0,0
Zotu2605,1,2,1,1,15,0,3,1,0,0,0,0
Zotu15564,0,1,0,1,1,1,0,0,0,0,0,0
Zotu2784,0,4,1,6,2,2,0,0,0,1,0,0
Zotu8100,0,5,0,5,1,1,0,0,0,0,0,0
Zotu5266,0,1,1,4,3,4,0,0,0,1,0,0
Zotu17695,0,2,1,7,3,0,0,0,0,0,0,0
Zotu16786,7,3,0,0,2,6,1,0,0,0,0,0
Zotu7925,0,3,0,8,7,4,0,0,0,0,0,0
Zotu407,1,1,0,27,108,2,21,0,0,0,0,0
Zotu11711,1,1,0,1,6,2,0,0,0,0,0,0
Zotu6024,0,3,0,6,3,2,0,0,1,0,0,0
Zotu9720,1,1,0,3,4,2,2,0,0,0,0,0
Zotu7996,0,1,0,1,4,2,0,0,0,0,0,0
Zotu14461,1,2,1,0,0,5,1,0,0,0,0,0
Zotu7664,0,2,3,2,4,2,1,0,0,0,0,0
Zotu8688,0,1,2,2,9,0,0,0,0,0,0,0
Zotu2830,0,1,2,1,9,2,2,0,0,0,0,0
Zotu3270,0,6,1,9,4,2,3,0,0,1,0,0
Zotu2703,0,3,0,1,1,11,0,0,0,0,0,0
Zotu7764,0,1,1,0,5,3,0,0,1,0,0,0
Zotu2880,0,1,0,4,3,2,0,0,0,1,0,0
Zotu16309,0,1,0,2,3,2,0,0,0,0,0,0
Zotu6413,0,1,0,3,4,1,0,0,1,0,0,0
Zotu19792,0,3,0,1,5,1,0,0,0,0,0,0
