#OTU ID,W48t21c,W48t22c,W48t23c,W48t24c,W48t25c,W48t26c,WC10Mc,WC31Hc,WC32Hc,WC33Hc,WC8Mc,WC9Mc
g__Gp23,0.000618606,0,2.38E-05,0.000333095,0.000785153,0.00019034,0.000142755,4.76E-05,0,0,0,2.38E-05
g__Demequina,0,0,0,0,0,0.00038068,2.38E-05,2.38E-05,9.52E-05,2.38E-05,0,2.38E-05
g__Rothia,0.001023079,0.001403759,0.00423507,0.002117535,0.001498929,0.000999286,0.00235546,0.002236498,0.00216512,0.001903402,0.003259576,0.003354747
g__Aquirufa,0,2.38E-05,0,0,0,0.00019034,0.000166548,0.000261718,0.000142755,0.00019034,0.000452058,0.000594813
g__Leuconostoc,0.00847014,0.002997859,0.005852962,0.006328813,0.008969783,0.004472995,0.004758506,0.003402332,0.004211278,0.004020937,0.004092315,0.002307875
g__Aureimonas,0.000547228,0.000142755,0,0.00028551,0.000142755,0,0,0,0,0,0,2.38E-05
g__Microvirga,0,0.000214133,2.38E-05,0.00019034,0,0.000428266,0.000356888,0.000547228,0.000499643,0.000689983,0.000737568,0.000309303
g__Agrobacterium,0.000214133,0.000309303,0,2.38E-05,0.000142755,0.000309303,0.000547228,0.000999286,0.000547228,0.000261718,0.001403759,0.000261718
g__Ruegeria,0.000166548,0.000237925,0.000547228,0,0.000428266,0.00197478,0.000642398,0.000571021,0.001950987,0.000547228,0.000475851,0.001023079
g__Polynucleobacter,0.000142755,9.52E-05,0.000166548,0,0.00038068,0.000832739,0.000689983,0.001356174,0.002236498,0.001760647,0.002379253,0.003592672
g__Buttiauxella,0.002236498,0.001356174,0.001403759,0.001023079,0.001023079,0.001070664,0.001284797,0.000571021,0.000808946,0.000452058,0.000999286,0.000642398
g__Morganella,4.76E-05,7.14E-05,4.76E-05,4.76E-05,0.000737568,0,0.000261718,0.000523436,0.000166548,0.000261718,0.000356888,0.000666191
g__Sodalis,0.000856531,0,0.00019034,0,0.000499643,0,0,0,0,0,0,0
g__Rouxiella,0.003901975,0.000975494,0.001070664,0.001308589,0.002022365,0.002046158,0.000642398,0.00028551,0.000356888,0.000975494,0.000808946,0.001023079
g__Haemophilus,0.001832025,0.000904116,0.001522722,0.00178444,0.002926481,0.001189626,0.001023079,0.001427552,0.000594813,0.00168927,0.001427552,0.000975494
g__Stenotrophomonas,0.000475851,0.000142755,0.000333095,0.000523436,0.000547228,9.52E-05,0.000642398,0.000666191,0.001118249,0.000904116,0.000856531,0.001284797
g__Mesomycoplasma,0.000118963,0,2.38E-05,2.38E-05,0,7.14E-05,0.000237925,0.000142755,9.52E-05,0.000904116,0.00028551,0.000309303
g__Akkermansia,0.01213419,0.006519153,0.011658339,0.011444207,0.011563169,0.010111825,0.009255294,0.009326671,0.009160124,0.007875327,0.009255294,0.006257435
